kEPStr    中文    英文    日文    韩文
kEPWashNumber    客人洗码号 Guest number    客人洗码号 លេខកាតសម្គាល់របស់ភ្ញៀវ    客人洗码号 លេខកាតសម្គាល់របស់ភ្ញៀវ    客人洗码号 លេខកាតសម្គាល់របស់ភ្ញៀវ
kEPWinStatus    输赢状态 Win or lose state    输赢状态 មួយណាឈ្នះ    输赢状态 មួយណាឈ្នះ    输赢状态 មួយណាឈ្នះ
kEPBetch    下注 Bet    下注 បិទការចាក់    下注 បិទការចាក់    下注 បិទការចាក់
kEPCompensate    应赔 Should pay    应赔 ត្រូវតែសង    应赔 ត្រូវតែសង    应赔 ត្រូវតែសង
kEPshouldShazhu    应杀注 Should pay    应杀注 ប្រមូលទាំងអស់    应杀注 ប្រមូលទាំងអស់    应杀注 ប្រមូលទាំងអស់
kEPReadChipMoney    Record amount    ត្រូវតែស៊ី    ត្រូវតែស៊ី    ត្រូវតែស៊ី
kEPRealCompensate    实际赔付 Actual payment    实际赔付 សងអស់ប៉ុន្មាន    实际赔付 សងអស់ប៉ុន្មាន    实际赔付 សងអស់ប៉ុន្មាន
kEPAllChip    总码 Total amount    总码 សរុបកាក់ទាំងអស់    总码 សរុបកាក់ទាំងអស់    总码 សរុបកាក់ទាំងអស់
kEPChangeXueci    Change card    ប្តូរស៊ូបៀ    ប្តូរស៊ូបៀ    ប្តូរស៊ូបៀ
kEPBindChip    Binding    កត់លេខកាតរបស់ភ្ញៀវ    កត់លេខកាតរបស់ភ្ញៀវ    កត់លេខកាតរបស់ភ្ញៀវ
kEPCancellationChip    Unbind    លុបចោលកាតរបស់ភ្ញៀវ    លុបចោលកាតរបស់ភ្ញៀវ    លុបចោលកាតរបស់ភ្ញៀវ
kEPEntry    Input system    កត់ចូលសីស្ទឹម    កត់ចូលសីស្ទឹម    កត់ចូលសីស្ទឹម
kEPNewGame    New round    ហ្គេមថ្មី    ហ្គេមថ្មី    ហ្គេមថ្មី
kEPWin    赢 Win    赢 ឈ្នះ    赢 ឈ្នះ    赢 ឈ្នះ
kEPLose    输 Lost    输 ចាញ់    输 ចាញ់    输 ចាញ់
kEPZhuang    庄 Banker    庄 មេ    庄 មេ    庄 មេ
kEPXian    闲 Player    闲 កូន    闲 កូន    闲 កូន
kEPZhuangDuizi    庄对子 B.Pair    庄对子 ផែ មេ    庄对子 ផែ មេ    庄对子 ផែ មេ
kEPXianDuizi    闲对子 P.Pair    闲对子 ផែ កូន    闲对子 ផែ កូន    闲对子 ផែ កូន
kEPHe    和 Tie    和 ស្មើ    和 ស្មើ    和 ស្មើ
kEPBaoxian    保险 Insurance    保险 អីនស៊ូរេន    保险 អីនស៊ូរេន    保险 អីនស៊ូរេន
kEPSixWin    幸运6点赢 Lucky 6 Win    幸运6点赢 Super 6    幸运6点赢 Super 6    幸运6点赢 Super 6
kEPZhuangSixWin    庄6点赢 Banker.6Win    庄6点赢 មេ6គ្រប់ឈ្នះ    庄6点赢 មេ6គ្រប់ឈ្នះ    庄6点赢 មេ6គ្រប់ឈ្នះ
kEPTipsInfo    Prompt message    បង្ហាញសារ    បង្ហាញសារ    បង្ហាញសារ
kEPReadSucceed    识别成功 Successful record    识别成功 សម្រេចរាល់កិច្ចការ    识别成功 សម្រេចរាល់កិច្ចការ    识别成功 សម្រេចរាល់កិច្ចការ
kEPNextTips    Please double check the above information to confirm whether to proceed to the next step.    សូមយកចិត្តទុកដាក់មើលសារ បញ្ចាក់ថាត្រូវបន្តទៅជំហានបន្ទាប់    សូមយកចិត្តទុកដាក់មើលសារ បញ្ចាក់ថាត្រូវបន្តទៅជំហានបន្ទាប់    សូមយកចិត្តទុកដាក់មើលសារ បញ្ចាក់ថាត្រូវបន្តទៅជំហានបន្ទាប់
kEPConfirm    确定 Determine    确定 សម្រេច    确定 សម្រេច    确定 សម្រេច
kEPCancel    取消 Cancel    取消 ថយក្រោយ    取消 ថយក្រោយ    取消 ថយក្រោយ
kEPShazhuSucceed    杀注成功 payment successful    杀注成功 កាស៊ីបានជោគជ័យ    杀注成功 កាស៊ីបានជោគជ័យ    杀注成功 កាស៊ីបានជោគជ័យ
kEPZhuangWin    庄赢 B.win    庄赢 មេឈ្នះ    庄赢 មេឈ្នះ    庄赢 មេឈ្នះ
kEPXianWin    闲赢 P.win    闲赢 កូន ឈ្នះ    闲赢 កូន ឈ្នះ    闲赢 កូន ឈ្នះ
kEPHeju    和局 Tie    和局 ស្មើ     和局 ស្មើ     和局 ស្មើ
kEPZhuangDui    庄对 B.Pair    庄对 ផែ មេ    庄对 ផែ មេ    庄对 ផែ មេ
kEPXianDui    闲对 P.pair    闲对 ផែ កូន    闲对 ផែ កូន    闲对 ផែ កូន
kEPChooseResult    Please enter the result.    សូមជ្រើសរើសហ្គេមក្តាមុន    សូមជ្រើសរើសហ្គេមក្តាមុន    សូមជ្រើសរើសហ្គេមក្តាមុន
kEPResultCacheSucceed    结果录入成功 Result entered successfully    结果录入成功 លិទ្ធផលបញ្ចូលបានជោគជ័យ    结果录入成功 លិទ្ធផលបញ្ចូលបានជោគជ័យ    结果录入成功 លិទ្ធផលបញ្ចូលបានជោគជ័យ
